Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
NY Cas,DCEPS,0.4507,11.398,10.985,10.85,-0.46,-0.49,15.27,0.12,16839,693,c*,LIII 
OP Cas,DCEP,0.7414,8.778,8.207,7.966,0.14,0.11,12.45,0.07,9945,441,c,LIII 
OZ Cas,DCEP,0.7059,8.491,7.482,7.074,0.06,0.03,11.01,0.06,8962,448,c,LIII 
PW Cas,DCEP,0.6021,10.246,9.679,9.483,-0.06,-0.09,13.53,0.07,10959,425,c,LIII 
RS Cas,DCEP,0.7991,6.769,6.225,5.968,0.18,0.15,10.66,0.05,8589,447,a,LIII 
RW Cas,DCEP,1.1701,6.829,6.366,6.175,0.22,0.28,12.21,0.05,9914,444,a,LII 
RY Cas,DCEP,1.0841,7.062,6.549,6.311,0.26,0.32,11.99,0.05,9288,440,a,LII 
SU Cas,DCEPS,0.2899,4.483,4.21,4.114,0.06,0.12,8.1,0.05,8229,451,b,LII 
SW Cas,DCEP,0.7357,7.4,6.983,6.801,-0.03,0.03,11.42,0.05,8774,443,a,LII 
SY Cas,DCEP,0.6097,7.816,7.449,7.287,0.04,0.1,11.53,0.05,9068,444,a,LII 
SZ Cas,DCEPS,1.1346,6.814,6.217,6.007,0.07,0.04,12.61,0.1,10557,457,c*,LIII 
TU Cas,CEP(B),0.3303,6.681,6.441,6.331,0.03,0.09,9.76,0.25,8398,453,c*,LII 
UZ Cas,DCEP,0.6294,9.155,8.679,8.522,-0.05,-0.08,12.75,0.06,10408,442,c,LIII 
V1017Cas,DCEP,0.6665,9.766,9.289,9.1,-0.18,-0.21,13.43,0.06,11725,447,c,LIII 
V1019Cas,DCEPS,0.5587,8.39,7.813,7.566,0.07,0.04,12.17,0.07,9312,438,c*,LIII 
V1020Cas,DCEP,0.6758,9.286,8.569,8.276,0.15,0.12,12.4,0.07,9580,437,c,LIII 
V1100 Cas,DCEP,0.673,8.991,8.351,8.088,0.02,-0.01,12.28,0.07,9899,444,c,LIII 
V1154 Cas,DCEP,0.3249,8.933,8.554,8.453,-0.06,-0.09,11.76,0.07,9508,447,c,LIII 
V1206 Cas,DCEP,0.6758,9.419,8.871,8.655,-0.16,-0.19,12.95,0.06,10239,432,c,LIII 
V342 Cas,DCEP,0.5933,9.01,8.51,8.327,0.03,0,12.4,0.06,9355,433,c,LIII 
V379 Cas,DCEPS,0.634,6.816,6.362,6.217,0.06,0.12,11.23,0.09,8950,447,c*,LII 
V395 Cas,DCEP,0.6061,8.446,8.001,7.874,0.02,-0.01,12.06,0.07,9849,447,c,LIII 
V407 Cas,DCEP,0.6613,9.404,8.89,8.673,0.11,0.08,12.95,0.07,10270,433,c,LIII 
V556 Cas,RR:,0.7803,8.883,8.292,7.984,-0.01,-0.04,12.54,0.29,10201,549,c*,LIII 
V636 Cas,DCEPS,0.9231,4.899,4.158,4.059,0.07,0.13,9.83,0.29,8533,458,c*,LII 
VV Cas,DCEP,0.7929,8.316,7.88,7.697,-0.04,-0.07,12.49,0.05,10260,443,a,LIII 
VW Cas,DCEP,0.7777,8.343,7.844,7.675,0.19,0.16,12.38,0.07,9947,443,c,LIII 
XY Cas,DCEP,0.6534,7.735,7.336,7.156,0.1,0.07,11.51,0.05,9178,445,a,LIII 
AY Cen,DCEP,0.7251,6.808,6.431,6.249,0.08,0.05,10.86,0.07,7496,444,c,LIII 
AZ Cen,DCEPS,0.5066,7.222,6.944,6.831,0.09,0.06,11.55,0.05,7392,437,b,LIII 
BB Cen,DCEPS,0.6018,7.922,7.539,7.369,0.22,0.19,12.31,0.13,7140,421,c*,LIII 
BK Cen,CEP(B),0.5016,8.339,7.947,7.772,0.07,0.06,11.62,0.16,7268,437,c*,SZI 
KK Cen,DCEP,1.0857,8.713,8.117,7.955,0.24,0.21,13.62,0.07,7526,349,c,LIII 
